कांंेडेाल,कोंडोल
जेप्र्रा,जेप्रा
जवराबोडी मेंंढा,जवराबोडी मेंढा
जांभूरगठठा,जांभुरगट्ठा
जांभूळगटटा,जांभुरगट्ठा
जांभुळगटठा,जांभुरगट्ठा
जांभतुुकुम,जांभतुकुम
ेमेंढाटोला,मेंढाटोला
ेमेंढा बोदली,मेंढा बोदली
ेमेंढा,मेंढा
ेकेवाडा,केवाडा
ेकुनघाडा,कुनघाडा
ेकोसमी,कोसमी
ेकोरंभी,कोरंभी
तुलानमेेंढा,तुलानमेंढा
तोेहगाव,तोहगाव
तळोधी मोेेेेेकासा,तळोधी मोकासा
फुुटाना,फुटाना
चुुरमुरा,चुरमुरा
चुरमुुुुुरा,चुरमुरा
चांंदली,चांदली
वटटेगटटा,वटेगट्टा
वटेगटटा,वटेगट्टा
वटेगटठा,वटेगट्टा
वटेग्टठा,वटेगट्टा
वडस्ाा,वडसा
देेलोडा,देलोडा
दादापुुर,दादापुर
दाबगाव माैशी,दाबगाव मौशी
दाबगावमाैर्शी,दाबगाव मौशी
दाबगांवमाैशी,दाबगाव मौशी
डोेंगरगाव,डोंगरगाव
डोंगरगंाव,डोंगरगाव
सेलुु,सेलु
सुुकाळा,सुकाळा
सुरगंाव,सुरगाव
सुरसुुुडी,सुरसुडी
सुरसुुडी,सुरसुडी
सुरसुंडी,सुरसुडी
सुरसुंडी,सुरसुडी
सुरसंुडी,सुरसुडी
जांभतुकुुुुुुम,जांभतुकुम
सुभाष्षग्राम,सुभाषग्राम
सुभाष्षनगर,सुभाषनगर
सुभष्षनगर,सुभाषनगर
सडकअजर्ुनी,सडक अर्जुनी
सालेभटृटी,सालेभट्टी
सोनेेगाव,सोनेगाव
साैंदड,सौंदड
साैंदळ,सौंदळ
सामदाृृ,सामदा
साख्ेारा,साखेरा
कोसंंंबी,कोसंबी
कोेंदावाही,कोंदावाही
कुडेसाावली,कुदेसावली
कुडेेेेेगांव,कुडेगांव
कुुरूड,कुरुड
कुुरखेडा,कुरखेडा
कुुुडकवाही,कुडकवाही
कुुुुडकवाही,कुडकवाही
केळीगठठा,केळीगट्ठा
केळीगगगट्ठा,केळीगट्ठा
केळीगटठा,केळीगट्ठा
केरीगठा,केरीगट्ठा
केरीगटटा,केरीगट्ठा
केसारी,केसोरी
केवाडा ऋपेटऋ,केवाडा पेट
केेळीगटटा,कैलीगट्ठा
कन्हाळगांव,कन्हाळगाव
कनेरी,कन्हेरी
कनेरीटोला,कनेरी टोला
कटीगाटोला,कटंगटोला
कटेझरी नं १,कटेझरी नं.१
कटेझरी नं-१,कटेझरी नं.१
मंुडीपार,मुंडीपार
मंुडवा,मुंडवा
मंुदाळा,मुंदाला
मंुजालगोंदी,मुंजालगोंदी
मंेढकी,मेंढकी
मंेढा,मेंढा
मंेढाटोला,मेंदाटोला
मंेंढा,मेंढा
मंेंढा.बोदली,मेंढा.बोदली
मक्केपली,मक्केपल्ली
मकेपली,मक्केपल्ली
महावाडानं-२,महावाडा-२
महालगावं,महालगाव
मळेगावं,मळेगाव
मीचगंाव,मीचगाव
मरकेगावं,मरकेगांव
मरारमंंेढा,मरारमेंढा
मरारमेढा,मरारमेंढा
मरेगंाव,मरेगांव
मरेगावं,मरेगांव
माढंळ,माढळ
मांेहझरी,मोंहझरी
मार्कडा,मार्कंडा
माळंदाा,माळंदा
माळं्रदा,माळंदा
माळद,माळदा
मारोेडा,मारोडा
मारर्ो,मर्रो
माडेेअामगाव,माडेअामगाव
माैशीखंाब,माैशीखांब
माैशीखांंब,माैशीखांब
माैशीखाब,माैशीखांब
माैशिखंाब,माैशीखांब
माैशिखांब,माैशीखांब
माैशिखाब,माैशीखांब
मोहगांव,मोहगावं
मोडेभटी,मोडेभटटी
मोडेेभट्टी,मोडेभटटी
मोैशीखांब,मौशीखांब
मोैशीचक,मौशीचक
मोैर्शीखांब,मौर्शीखांब
मोेहटोला,मोहटोला
मोेहडोंगरी,मोहडोंगरी
मालडांेगरी,मालडोंगरी
मालडोगरी,मालडोंगरी
मुरूमबोेडी,मुरूमबोडी
मुरूमगंाव,मुरूमागाव
मुरूमगावं,मुरूमागाव
मुरूगांव,मुरूमागाव
मुरूमगांव,मुरूमागाव
मुबई,मुंबई
मुई,मुंबई
मुरखळा चेक,मुरखळा चक
मुरगंाव,मुरगाव
मुरगांव,मुरगाव
मुुरूमगांव,मुरूमगांव
मुुरमाडी,मुरमाडी
मुुुरूमगाव,मुरूमगाव
मुुुरमाडी,मुरमाडी
मुुजालगोदी,मुजालगोदी
मुुलुरचक,मुलुरचक
मेंढाटोेला,मेंढाटोला
मेंढाटोल,मेंढाटोला
मेंढेेबोळी,मेंढेबोडी
मेंंढकी,मेंढकी
मेंंढा,मेंढा
मेंढा लेखा,मेंढा लेखा
मेंढाटोला,मेंढाटोला
मेंा लेखा,मेंढा लेखा
मेेढाटोला,मेंढाटोला
मेेढेबोडी,मेढेबोडी
मेेंढकी,मेंढकी
मेेंढा,मेंढा
मेेंढाबोदली,मेंढाबोदली
मगरमेढा,मगरमेंढा
ंिचंगली,िचंगली
बिजेगंाव,बिजेगाव
मिचगावं,मिचगाव
भिकारमाैशी,भिकारमौशी
भिकारमाैर्शी,भिकारमौशी
पिंपळगावं,पिपंळगाव
पिपंळगांव,पिपंळगाव
पिंपळगाव,पिपंळगाव
पिंपळगांव निपानी,पिपंळगाव निपानी
पिंपळगांव भोसले,पिपंळगाव भोसले
पिंपळगाव भो.,पिपंळगाव भो.
पिंपळगाव भोसले,पिपंळगाव भोसले
पिंपळगावं,पिपंळगाव
पिपळगाव भोसले,पिपंळगाव भोसले
पिपळगावनिपानी,पिपंळगावनिपानी
पिपळगावभोसले,पिपंळगावभोसले
थेरगांव,थेरगाव
सिदंेवाही,सिदेंवाही
विहीरगंाव,विहीरागाव
विसापुुर,विसापुर
विसोेरा,विसोरा
चिखलगंाव,चिखलगाव
चिचगंाव,चिचगाव
चित्तरंंजनपूर,चित्तरंजनपुर
चितेगंाव,चितेगाव
चितेगावं,चितेगाव
जिभगंाव,जिभगाव
निमगंाव,निमगाव
निमगावं,निमगाव
निफंंंंंंंद्रा,निफंद्रा
निफंंंंद्रा,निफंद्रा
निफंंद्रा,निफंद्रा
गिरगंाव,गिरगाव
गिलगंाव,गिलगाव
गिलगांंव,गिलगाव
गिलगावं,गिलगाव
हेारेेकसा,हेारेकसा
हेेटी,हेटी
भंंगाराम तळोधी,भंगाराम तळोधी
भंेडीकन्हार,भेंडीकन्हार
भंेडीकनार,भेंडीकनार
भंेडाळा,भेंडाळा
भाकरांेडी,भाकरोंडी
भाडभिडी कोवासे,भाडभिडी कोवास
भेंंडीकन्हार,भेंडीकन्हार
भेचगांव,भेजगाव
भेजगांव,भेजगाव
भटेगाव,भटेगांव
पळसगावं,पळसगाव
पळसगावंजाट,पळसगावजाट
पळसगावजांट,पळसगावजाट
पांंढरसडा,पांडरसडा
पांेंभुर्णा,पाेंभुर्णा
पांेभुर्णा,पाेंभुर्णा
पारडगांव,पारडगाव
पाचगांव,पाचगाव
पोटेेेगाव,पोटेगाव
पोटेगांव,पोटेगाव
पोर्लाा,पोर्ला
पालादंूर,पालादूंर
पालादुुर,पालादुर
पेटगंाव,पेटगाव
पलखेेेडा,पलख्ेाडा
रंेगाटोला,रेंगाटोला
रांंंंगी,रांगी
राजगंाटाचक,राजगांटाचक
रेंंंगाटोला,रेंगाटोला
रेडडी येरगावं,रेडडी येरगाव
ांकपुर हेटी,शंकरपुर हेटी
ांकरपुरहेटी,शंकरपुरहेटी
ांकरपूर,शंकरपुर
ांकरपूर हेटी,शंकरपुर हेटी
ांकरनगर,शंकरनगर
ाकरपुर हेटी,शंकरपुर हेटी
ाांतीनगर,शांतीनगर
ाामनगर,शामनगर
ाोधग्राम,शोधग्राम
ोंदुरवाफा,शेंदुरवाफा
हषर्े,हर्षे
वौष्णवी,वैष्णवी
वौशाली,वैशाली
वौभव,वैभव
कि्रष्णा,क्रिष्णा
साेनुलर्े,सोनुर्ले
नौताम,नैताम
दरार्े,दर्रो
ब््रम्हया,ब्रम्ह्या
कुवर्े,कुर्वे
पौकु,पैकु
माेहुलर्े,मोहुर्ले
कि्रष्णपद,क्रिष्णापद
पि्रयंका,प्रियंका
अजर्ूनकार,अर्जुनकार
पि्रती,प्रिती
पौकुजी,पैकुजी
कौलास,कैलास
कुथ्ेा,कुथे
कौलाश,कैलाश
मौदमवार,मैदमवार
भरर्े,भर्रे
गण्ेाश,गणेश
धुवर्े,धुर्वे
वौरागडे,वैरागडे
चाौके,चौके
श्रीक्ष्ण,श्रीकृष्ण
कि्रष्णाबाई,क्रिष्णाबाई
काौशल्या,कौशल्या
दुयार्ेधन,दुर्योधन
बौधनाथ,बैधनाथ
सीताकाौर,सीताकौर
संुनिता,सुनिता
सुर्यीाान,सुर्यभान
अनिकेेत,अनिकेत
पि्रया,प्रिया
पाेणिर्मा,पोर्णिमा
जंम्पलवार,जंपलवार
करिीष्मा,करिष्मा
नौना,नैना
नाौसीन,नौसीन
भौसारे,भैसारे
माेहुलर्े्र,मोहुर्ले
चाौव्हाडे,चौव्हाडे
दुवर्ेस,दुर्वेस
चाौधरी,चौधरी
जगन्नाथ्ज्ञ,जगन्नाथ
अजर्ूनकर,अर्जुनकर
ज्ञनेश्वर,ज्ञानेश्वर
सुपि्रया,सुप्रिया
दुगर्े,दुर्गे
कंाेबे,कोंबे
श्ल्िपा,शिल्पा
मल्लन्ना,मलन्ना
कौकाळु,कैकाळू
भुरर्े,भुर्रे
चौताली,चैताली
सजर्ेराव,सर्जेराव
गटटृ,गट्टू
कुभांरे,कुंभारे
बंस्ााेड,बंसोड
लााकडु,लाकडू
ज्याती,ज्योती
वौद्य,वैद्य
नौतिक,नैतिक
जौनाबाई,जैनाबाई
दाेडकुुजी,दोडकुजी
दाौलत,दौलत
टेंभुणर्े,टेंभुर्णे
काौशीक,कौशीक
गाौरीहर,गौरीहार
कातिर्क,कार्तिक
बौरागी,बैरागी
स्िमता,स्मिता
भौसारे,भैसारे
बिमलकि्रष्ण,बिमलक्रिष्ण
गाौराबाई,गौराबाई
पि्रतम,प्रितम
गाौरंग,गौरंग
कौया,कैया
गाौरी,गौरी
धमर्ेंद्र,धर्मेंद्र
वौष्णव,वैष्णव
रूक्मबाई्र,रुक्मबाई
गाौतम,गौतम
गाौर,गौर
रौनु,रैनु
पि्रतेश,प्रितेश
dummy,dummy
